email,answer,cluster
3990147_SeNs@gmail.com,To source products and services Tour Operator No influence,3
3990147_SeNs_09Hr@gmail.com,To source products and services Tour Operator No influence,3
3990147_SeNs_mVZi@gmail.com,To source products and services Tour Operator No influence,3
aleksandar.dimkov+mb1_Xc8j@bss.com.mk,To obtain general information Sales Event management Advisory role,1
aleksandar.dimkov+mb1_Xc8j_kuh8@bss.com.mk,To obtain general information Sales Event management Advisory role,1
aleksandar.dimkov+mb1_Xc8j_vvSH@bss.com.mk,To obtain general information Sales Event management Advisory role,1
aleksandar.dimkov+mitt10_V0iB@bss.com.mk,To source products and services Visa support Tour Operator Joint responsibility Up to 1 million rubles,0
aleksandar.dimkov+mitt10_V0iB_21BI@bss.com.mk,To source products and services Visa support Tour Operator Joint responsibility Up to 1 million rubles,0
aleksandar.dimkov+mitt10_V0iB_2bw2@bss.com.mk,To source products and services Visa support Tour Operator Joint responsibility Up to 1 million rubles,0
aleksandar.dimkov+mitt10_V0iB_GLVX@bss.com.mk,To source products and services Visa support Tour Operator Joint responsibility Up to 1 million rubles,0
aleksandar.dimkov+mitt10_V0iB_UmV3@bss.com.mk,To source products and services Visa support Tour Operator Joint responsibility Up to 1 million rubles,0
aleksandar.dimkov+mitt1_n5eA@bss.com.mk,To source products and services Sales Event management Sole responsibility 5 - 10 million rubles,2
aleksandar.dimkov+mitt1_n5eA_J2i8@bss.com.mk,To source products and services Sales Event management Sole responsibility 5 - 10 million rubles,2
aleksandar.dimkov+mitt1_n5eA_UbFT@bss.com.mk,To source products and services Sales Event management Sole responsibility 5 - 10 million rubles,2
aleksandar.dimkov+mitt1_n5eA_c8O2@bss.com.mk,To source products and services Sales Event management Sole responsibility 5 - 10 million rubles,2
aleksandar.dimkov+mitt1_n5eA_oG2a@bss.com.mk,To source products and services Sales Event management Sole responsibility 5 - 10 million rubles,2
aleksandar.dimkov+mitt1_n5eA_tzip@bss.com.mk,To source products and services Sales Event management Sole responsibility 5 - 10 million rubles,2
daniela.p+150_YhiF@bss.com.mk,To promote products and services Formation of tourist products Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+150_YhiF_NqPH@bss.com.mk,To promote products and services Formation of tourist products Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+150_YhiF_OH5e@bss.com.mk,To promote products and services Formation of tourist products Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+150_YhiF_SxIe@bss.com.mk,To promote products and services Formation of tourist products Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+151_o4q3@bss.com.mk,Personal interest,1
daniela.p+151_o4q3_Mt3G@bss.com.mk,Personal interest,1
daniela.p+200_IzcX@bss.com.mk,To obtain general information Guided tour services Travel Agent Advisory role,1
daniela.p+200_IzcX_CIHU@bss.com.mk,To obtain general information Guided tour services Travel Agent Advisory role,1
daniela.p+200_IzcX_QOfF@bss.com.mk,To obtain general information Guided tour services Travel Agent Advisory role,1
daniela.p+200_IzcX_T1OA@bss.com.mk,To obtain general information Guided tour services Travel Agent Advisory role,1
daniela.p+200_IzcX_pGIR@bss.com.mk,To obtain general information Guided tour services Travel Agent Advisory role,1
daniela.p+200_IzcX_vB6s@bss.com.mk,To obtain general information Guided tour services Travel Agent Advisory role,1
daniela.p+201_Fwae@bss.com.mk,To promote products and services Visa support Tour Operator Sole responsibility Up to 1 million rubles,0
daniela.p+201_Fwae_AK8l@bss.com.mk,To promote products and services Visa support Tour Operator Sole responsibility Up to 1 million rubles,0
daniela.p+201_Fwae_HTYS@bss.com.mk,To promote products and services Visa support Tour Operator Sole responsibility Up to 1 million rubles,0
daniela.p+202_Rw2b@bss.com.mk,To source products and services Marketing Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+202_Rw2b_0LXC@bss.com.mk,To source products and services Marketing Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+202_Rw2b_20IK@bss.com.mk,To source products and services Marketing Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+202_Rw2b_MtGK@bss.com.mk,To source products and services Marketing Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+202_Rw2b_Oi3B@bss.com.mk,To source products and services Marketing Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+202_Rw2b_ZF2k@bss.com.mk,To source products and services Marketing Travel Agent Joint responsibility Up to 1 million rubles,0
daniela.p+203_NfBj@bss.com.mk,Educational purposes  Visa support Tour Operator Advisory role,1
daniela.p+203_NfBj_8KQ3@bss.com.mk,Educational purposes  Visa support Tour Operator Advisory role,1
daniela.p+203_NfBj_DuMy@bss.com.mk,Educational purposes  Visa support Tour Operator Advisory role,1
daniela.p+203_NfBj_R5H7@bss.com.mk,Educational purposes  Visa support Tour Operator Advisory role,1
daniela.p+203_NfBj_TkuP@bss.com.mk,Educational purposes  Visa support Tour Operator Advisory role,1
daniela.p+203_NfBj_WAMQ@bss.com.mk,Educational purposes  Visa support Tour Operator Advisory role,1
daniela.p+203_NfBj_lrIk@bss.com.mk,Educational purposes  Visa support Tour Operator Advisory role,1
daniela.p+203_NfBj_zBgp@bss.com.mk,Educational purposes  Visa support Tour Operator Advisory role,1
emilija+01_I7vH@bss.com.mk,To source products and services Travel Agent No influence,3
emilija+01_I7vH_AxF5@bss.com.mk,To source products and services Travel Agent No influence,3
emilija+01_I7vH_TpD9@bss.com.mk,To source products and services Travel Agent No influence,3
emilija+01_I7vH_eEKa@bss.com.mk,To source products and services Travel Agent No influence,3
emilija+100_L8gA@bss.mk,To obtain general information Media Travel Agent No influence,3
emilija+100_L8gA_7JBa@bss.mk,To obtain general information Media Travel Agent No influence,3
emilija+100_L8gA_JDxN@bss.mk,To obtain general information Media Travel Agent No influence,3
emilija+100_L8gA_Ur8T@bss.mk,To obtain general information Media Travel Agent No influence,3
emilija+100_zbmO@bss.com.mk,To source products and services Media Travel Agent No influence,3
emilija+100_zbmO_4ZQ4@bss.com.mk,To source products and services Media Travel Agent No influence,3
emilija+100_zbmO_lsjt@bss.com.mk,To source products and services Media Travel Agent No influence,3
emilija+100_zbmO_xln3@bss.com.mk,To source products and services Media Travel Agent No influence,3
emilija+101_jj3C@bss.com.mk,To obtain general information Sales Travel Agent No influence,3
emilija+101_jj3C_5KuG@bss.com.mk,To obtain general information Sales Travel Agent No influence,3
emilija+101_jj3C_g3J8@bss.com.mk,To obtain general information Sales Travel Agent No influence,3
emilija+101_jj3C_mXlu@bss.com.mk,To obtain general information Sales Travel Agent No influence,3
emilija+101_jj3C_nsLJ@bss.com.mk,To obtain general information Sales Travel Agent No influence,3
emilija+2_02Wi@bss.com.mk,To source products and services Travel Agent No influence,3
emilija+2_02Wi_QBD0@bss.com.mk,To source products and services Travel Agent No influence,3
emilija+2_02Wi_UXK5@bss.com.mk,To source products and services Travel Agent No influence,3
emilija+2_02Wi_sEkD@bss.com.mk,To source products and services Travel Agent No influence,3
emilija+3_CmwU@bss.com.mk,To obtain general information Travel Agent No influence,3
emilija+3_CmwU_F2JI@bss.com.mk,To obtain general information Travel Agent No influence,3
emilija+3_CmwU_NYnU@bss.com.mk,To obtain general information Travel Agent No influence,3
emilija+3_CmwU_XhuG@bss.com.mk,To obtain general information Travel Agent No influence,3
emilija+3_CmwU_tbhk@bss.com.mk,To obtain general information Travel Agent No influence,3
emilija+3_CmwU_xccV@bss.com.mk,To obtain general information Travel Agent No influence,3
emilija_x3WF@bss.com.mk,Personal interest,1
emilija_x3WF_2hGj@bss.com.mk,Personal interest,1
emilija_x3WF_Ge24@bss.com.mk,Personal interest,1
emilija_x3WF_SgHa@bss.com.mk,Personal interest,1
emilija_x3WF_b5QU@bss.com.mk,Personal interest,1
sergey.usenko_ucwx@ite.group,Personal interest,1
sergey.usenko_ucwx_BVBu@ite.group,Personal interest,1
sergey.usenko_ucwx_DPxA@ite.group,Personal interest,1
sergey.usenko_ucwx_DprR@ite.group,Personal interest,1
sergey.usenko_ucwx_aQ8I@ite.group,Personal interest,1
sergey.usenko_ucwx_ar23@ite.group,Personal interest,1
tanja+182_Ahsx@bss.mk,To promote products and services IT solutions for travel industry Sole responsibility 1 - 5 million rubles,0
tanja+182_Ahsx_Lcd6@bss.mk,To promote products and services IT solutions for travel industry Sole responsibility 1 - 5 million rubles,0
tanja+182_Ahsx_hqUn@bss.mk,To promote products and services IT solutions for travel industry Sole responsibility 1 - 5 million rubles,0
tanja+182_jiPa@bss.com.mk,To promote products and services Travel Agent Advisory role,1
